Episode 600	Average Score: 23.45	Score: 24.82
Episode 601	Average Score: 23.52	Score: 24.08
Episode 602	Average Score: 23.59	Score: 22.59
Episode 603	Average Score: 23.63	Score: 23.84
Episode 604	Average Score: 23.68	Score: 25.28
Episode 605	Average Score: 23.69	Score: 22.48
Episode 606	Average Score: 23.70	Score: 21.00
Episode 607	Average Score: 23.66	Score: 25.67
Episode 608	Average Score: 23.64	Score: 23.35
Episode 609	Average Score: 23.69	Score: 24.31
Episode 610	Average Score: 23.71	Score: 21.40
Episode 611	Average Score: 23.70	Score: 22.61
Episode 612	Average Score: 23.72	Score: 27.36
Episode 613	Average Score: 23.77	Score: 26.76
Episode 614	Average Score: 23.81	Score: 25.47
Episode 615	Average Score: 23.84	Score: 26.83
Episode 616	Average Score: 23.81	Score: 19.88
Episode 617	Average Score: 23.79	Score: 21.10
Episode 618	Average Score: 23.77	Score: 19.44
Episode 619	Average Score: 23.81	Score: 29.17
Episode 620	Average Score: 23.87	Score: 21.82
Episode 621	Average Score: 23.84	Score: 24.37
Episode 622	Average Score: 23.85	Score: 24.79
Episode 623	Average Score: 23.91	Score: 23.50
Episode 624	Average Score: 23.91	Score: 24.48
Episode 625	Average Score: 23.98	Score: 28.85
Episode 626	Average Score: 23.95	Score: 22.77
Episode 627	Average Score: 23.97	Score: 24.22
Episode 628	Average Score: 24.01	Score: 25.34
Episode 629	Average Score: 24.04	Score: 26.73
Episode 630	Average Score: 24.10	Score: 26.76
Episode 631	Average Score: 24.14	Score: 26.26
Episode 632	Average Score: 24.14	Score: 25.82
Episode 633	Average Score: 24.16	Score: 26.39
Episode 634	Average Score: 24.10	Score: 18.57
Episode 635	Average Score: 24.20	Score: 26.83
Episode 636	Average Score: 24.24	Score: 27.55
Episode 637	Average Score: 24.26	Score: 25.55
Episode 638	Average Score: 24.29	Score: 25.80
Episode 639	Average Score: 24.41	Score: 28.12
Episode 640	Average Score: 24.45	Score: 26.03
Episode 641	Average Score: 24.43	Score: 22.26
Episode 642	Average Score: 24.42	Score: 21.52
Episode 643	Average Score: 24.44	Score: 25.58
Episode 644	Average Score: 24.43	Score: 23.23
Episode 645	Average Score: 24.50	Score: 27.44
Episode 646	Average Score: 24.53	Score: 24.92
Episode 647	Average Score: 24.54	Score: 20.85
Episode 648	Average Score: 24.57	Score: 25.89
Episode 649	Average Score: 24.51	Score: 21.21
Episode 650	Average Score: 24.47	Score: 22.08
Episode 651	Average Score: 24.47	Score: 25.35
Episode 652	Average Score: 24.35	Score: 17.63
Episode 653	Average Score: 24.43	Score: 26.24
Episode 654	Average Score: 24.43	Score: 20.76
Episode 655	Average Score: 24.47	Score: 28.98
Episode 656	Average Score: 24.46	Score: 25.14
Episode 657	Average Score: 24.44	Score: 24.66
Episode 658	Average Score: 24.36	Score: 22.06
Episode 659	Average Score: 24.37	Score: 26.61
Episode 660	Average Score: 24.43	Score: 28.19
Episode 661	Average Score: 24.43	Score: 26.49
Episode 662	Average Score: 24.38	Score: 22.08
Episode 663	Average Score: 24.35	Score: 24.98
Episode 664	Average Score: 24.33	Score: 23.64
Episode 665	Average Score: 24.29	Score: 25.29
Episode 666	Average Score: 24.31	Score: 24.61
Episode 667	Average Score: 24.41	Score: 30.34
Episode 668	Average Score: 24.42	Score: 29.49
Episode 669	Average Score: 24.48	Score: 29.26
Episode 670	Average Score: 24.47	Score: 26.85
Episode 671	Average Score: 24.44	Score: 25.00
Episode 672	Average Score: 24.45	Score: 24.31
Episode 673	Average Score: 24.45	Score: 25.07
Episode 674	Average Score: 24.39	Score: 20.22
Episode 675	Average Score: 24.31	Score: 21.25
Episode 676	Average Score: 24.34	Score: 24.56
Episode 677	Average Score: 24.32	Score: 21.46
Episode 678	Average Score: 24.32	Score: 21.90
Episode 679	Average Score: 24.34	Score: 27.21
Episode 680	Average Score: 24.32	Score: 20.75
Episode 681	Average Score: 24.34	Score: 26.31
Episode 682	Average Score: 24.39	Score: 26.58
Episode 683	Average Score: 24.44	Score: 25.59
Episode 684	Average Score: 24.43	Score: 25.84
Episode 685	Average Score: 24.41	Score: 22.04
Episode 686	Average Score: 24.47	Score: 27.87
Episode 687	Average Score: 24.50	Score: 29.62
Episode 688	Average Score: 24.48	Score: 21.72
Episode 689	Average Score: 24.53	Score: 24.37
Episode 690	Average Score: 24.54	Score: 26.62
Episode 691	Average Score: 24.57	Score: 30.37
Episode 692	Average Score: 24.62	Score: 27.22
Episode 693	Average Score: 24.56	Score: 20.62
Episode 694	Average Score: 24.63	Score: 30.44
Episode 695	Average Score: 24.60	Score: 21.86
Episode 696	Average Score: 24.66	Score: 28.19
Episode 697	Average Score: 24.74	Score: 27.86
Episode 698	Average Score: 24.82	Score: 30.80
Episode 699	Average Score: 24.82	Score: 24.54
Episode 700	Average Score: 24.85	Score: 28.20
Episode 701	Average Score: 24.85	Score: 24.11
Episode 702	Average Score: 24.94	Score: 31.11
Episode 703	Average Score: 24.95	Score: 25.51
Episode 704	Average Score: 24.95	Score: 25.18
Episode 705	Average Score: 24.99	Score: 25.83
Episode 706	Average Score: 25.08	Score: 30.16
Episode 707	Average Score: 25.10	Score: 27.45
Episode 708	Average Score: 25.16	Score: 29.93
Episode 709	Average Score: 25.20	Score: 28.29
Episode 710	Average Score: 25.27	Score: 28.17
Episode 711	Average Score: 25.33	Score: 28.64
Episode 712	Average Score: 25.33	Score: 27.25
Episode 713	Average Score: 25.33	Score: 27.38
Episode 714	Average Score: 25.36	Score: 27.56
Episode 715	Average Score: 25.36	Score: 27.11
Episode 716	Average Score: 25.43	Score: 27.16
Episode 717	Average Score: 25.43	Score: 20.87
Episode 718	Average Score: 25.51	Score: 27.38
Episode 719	Average Score: 25.52	Score: 30.80
Episode 720	Average Score: 25.61	Score: 29.87
Episode 721	Average Score: 25.62	Score: 25.81
Episode 722	Average Score: 25.64	Score: 27.01
Episode 723	Average Score: 25.66	Score: 25.19
Episode 724	Average Score: 25.70	Score: 28.86
Episode 725	Average Score: 25.71	Score: 29.88
